claim_id,paper_location,description,unrounded_value,displayed_value,generating_script,raw_input,result_file,exact_selector,rounding_rule,paper_token,validation_status
TOTAL-STUDIES,Abstract,released sweeps audited,5,five,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.studies,as displayed,five,verified
TOTAL-RUNS,Abstract,released runs audited,5213,"5,213",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.runs,as displayed,"5,213",verified
GAME-DIFF,Abstract,free-text game action divergences,288,288,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.free_text_action_field_divergences,as displayed,288,verified
PERSONA-EXTRA,Abstract/Table 1,extra Persona Expression post events,2289,"2,289",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.persona_extra_post_events,as displayed,"2,289",verified
POLAR-ABOVE-CAP,Abstract/Table 1,Polarization executed events above advertised cap,60634,"60,634",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.polarization_executed_events_above_cap,as displayed,"60,634",verified
STRICT-PROBE,Abstract/Table 1,Observed Norms strict integer discrepancies,0,0,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_observed_norms_final/summary.json,strict_integer_fidelity == 1.0,as displayed,0,verified
Beauty Contest-RUNS,Table 1,Beauty Contest runs,670,670,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,runs",as displayed,670,verified
Beauty Contest-DIFF,Table 1,Beauty Contest execution-interface difference,230,"230/1,340",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,execution_difference",as displayed,"230/1,340",verified
Beauty Contest-CONSEQ,Table 1,Beauty Contest consequence phrase,target verdict changes: H2;H6b,H2 and H6b,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,scientific_impact",as displayed,H2 and H6b,verified
Iterated PD-RUNS,Table 1,Iterated PD runs,3465,"3,465",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Iterated PD,runs",as displayed,"3,465",verified
Iterated PD-DIFF,Table 1,Iterated PD execution-interface difference,58,"58/69,300",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Iterated PD,execution_difference",as displayed,"58/69,300",verified
Iterated PD-CONSEQ,Table 1,Iterated PD consequence phrase,no target-verdict change; effect sensitivity retained,target verdicts do not,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Iterated PD,scientific_impact",as displayed,target verdicts do not,verified
Persona Expression-RUNS,Table 1,Persona Expression runs,528,528,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Persona Expression,runs",as displayed,528,verified
Persona Expression-DIFF,Table 1,Persona Expression execution-interface difference,2289,"+2,289",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Persona Expression,execution_difference",as displayed,"+2,289",verified
Persona Expression-CONSEQ,Table 1,Persona Expression consequence phrase,max per-run diversity shift 0.0782; no selected target-verdict change,.078,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Persona Expression,scientific_impact",as displayed,.078,verified
Observed Norms-RUNS,Table 1,Observed Norms runs,330,330,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Observed Norms,runs",as displayed,330,verified
Observed Norms-DIFF,Table 1,Observed Norms execution-interface difference,0,"0/36,720",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Observed Norms,execution_difference",as displayed,"0/36,720",verified
Observed Norms-CONSEQ,Table 1,Observed Norms consequence phrase,execution-clean; three human-anchor claims remain data-unidentifiable,WVS anchors,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Observed Norms,scientific_impact",as displayed,WVS anchors,verified
Polarization-RUNS,Table 1,Polarization runs,220,220,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Polarization,runs",as displayed,220,verified
Polarization-DIFF,Table 1,Polarization execution-interface difference,60634,"+60,634",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Polarization,execution_difference",as displayed,"+60,634",verified
Polarization-CONSEQ,Table 1,Polarization consequence phrase,"23,327 turns exceed cap; 20 generated calls rejected; 3 probes failed",686-action,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Polarization,scientific_impact",as displayed,686-action,verified
H2-E,Table 2,Beauty Contest H2 effect,1.5499999999999998,1.55,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_final/hypothesis_audit.csv,"claim_id=H2,point_estimate",as displayed,1.55,verified
H2-L,Table 2,Beauty Contest H2 CI lower,0.378125,.38,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_final/hypothesis_audit.csv,"claim_id=H2,ci_low",as displayed,.38,verified
H2-U,Table 2,Beauty Contest H2 CI upper,2.7906250000000004,2.79,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_final/hypothesis_audit.csv,"claim_id=H2,ci_high",as displayed,2.79,verified
H2-D,Table 2,Beauty Contest H2 design token,mixed_across_identifiable_cells,mixed,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_final/hypothesis_audit.csv,"claim_id=H2,design_verdict",as displayed,mixed,verified
P1b-E,Table 2,Iterated PD P1b effect,0.2519444444444444,.252,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_ipd_final/hypothesis_audit.csv,"claim_id=P1b,point_estimate",as displayed,.252,verified
P1b-L,Table 2,Iterated PD P1b CI lower,0.180970486111111,.181,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_ipd_final/hypothesis_audit.csv,"claim_id=P1b,ci_low",as displayed,.181,verified
P1b-U,Table 2,Iterated PD P1b CI upper,0.3243177083333334,.324,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_ipd_final/hypothesis_audit.csv,"claim_id=P1b,ci_high",as displayed,.324,verified
P1b-D,Table 2,Iterated PD P1b design token,positive_direction_all_identifiable_cells,positive in 9/9 cells,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_ipd_final/hypothesis_audit.csv,"claim_id=P1b,design_verdict",as displayed,positive in 9/9 cells,verified
E1a-E,Table 2,Persona Expression E1a effect,0.080693932953381,.081,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_persona_expression_final/hypothesis_audit.csv,"claim_id=E1a,point_estimate",as displayed,.081,verified
E1a-L,Table 2,Persona Expression E1a CI lower,0.0496508931615672,.050,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_persona_expression_final/hypothesis_audit.csv,"claim_id=E1a,ci_low",as displayed,.050,verified
E1a-U,Table 2,Persona Expression E1a CI upper,0.1118295246535077,.112,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_persona_expression_final/hypothesis_audit.csv,"claim_id=E1a,ci_high",as displayed,.112,verified
N3-E,Table 2,Observed Norms N3 effect,0.5724906065485775,.572,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_observed_norms_final/identifiable_hypothesis_audit.csv,"claim_id=N3,point_estimate",as displayed,.572,verified
N3-L,Table 2,Observed Norms N3 CI lower,0.223942314143854,.224,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_observed_norms_final/identifiable_hypothesis_audit.csv,"claim_id=N3,ci_low",as displayed,.224,verified
N3-U,Table 2,Observed Norms N3 CI upper,0.964916046027912,.965,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_observed_norms_final/identifiable_hypothesis_audit.csv,"claim_id=N3,ci_high",as displayed,.965,verified
Z1-E,Table 2,Polarization Z1 effect,-0.0315820312499999,-.032,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z1,point_estimate",as displayed,-.032,verified
Z1-L,Table 2,Polarization Z1 CI lower,-0.0527353515625,-.053,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z1,ci_low",as displayed,-.053,verified
Z1-U,Table 2,Polarization Z1 CI upper,-0.0118745117187499,-.012,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z1,ci_high",as displayed,-.012,verified
Z1-D,Table 2,Polarization Z1 design token,nonpositive_all_identifiable_cells,nonpositive in 5/5 cells,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z1,design_verdict",as displayed,nonpositive in 5/5 cells,verified
Z4-E,Table 2,Polarization Z4 effect,0.1704963235294117,.170,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z4,point_estimate",as displayed,.170,verified
Z4-L,Table 2,Polarization Z4 CI lower,0.1136029411764706,.114,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z4,ci_low",as displayed,.114,verified
Z4-U,Table 2,Polarization Z4 CI upper,0.231985294117647,.232,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z4,ci_high",as displayed,.232,verified
Z4-D,Table 2,Polarization Z4 design token,positive_direction_all_identifiable_cells,positive in 5/5 cells,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_polarization_final/hypothesis_audit.csv,"claim_id=Z4,design_verdict",as displayed,positive in 5/5 cells,verified
