condition_id,model,game_variant,goal_framing,persona,agent_actions,fidelity,recorded_mean_choice,explicit_parameter_mean_choice,choice_shift_recorded_minus_explicit
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-cautious,gemma-4-31b,basic,none,cautious,10,0.0,11.0,20.0,-9.0
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-competitive,gemma-4-31b,basic,none,competitive,10,0.0,20.0,11.0,9.0
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-intuitive,gemma-4-31b,basic,none,intuitive,10,0.0,20.0,19.0,1.0
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,gemma-4-31b,basic,none,neutral,10,0.0,20.0,19.0,1.0
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral__temperature-1.0,gemma-4-31b,basic,none,neutral,10,0.0,20.0,11.0,9.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,basic,none,cautious,10,1.0,15.0,15.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,basic,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,basic,none,intuitive,10,1.0,13.4,13.4,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-numbers-as-words,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,14.1,14.1,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-a,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-b,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,12.7,12.7,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__temperature-1.0,qwen3.5-27b-fp8,basic,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,basic,none,cautious,10,1.0,11.0,11.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,basic,none,competitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,basic,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,basic,none,neutral,10,1.0,16.0,16.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-neutral__temperature-1.0,qwen3.5-4b,basic,none,neutral,10,1.0,16.0,16.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,basic,none,cautious,10,1.0,11.0,11.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,basic,none,competitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,basic,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,basic,none,neutral,10,1.0,11.2,11.2,0.0
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-neutral__temperature-1.0,qwen3.5-9b,basic,none,neutral,10,1.0,11.0,11.0,0.0
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-cautious,gemma-4-31b,basic,strategic,cautious,10,0.0,11.0,20.0,-9.0
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-competitive,gemma-4-31b,basic,strategic,competitive,10,0.0,20.0,11.0,9.0
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-intuitive,gemma-4-31b,basic,strategic,intuitive,10,0.0,20.0,19.0,1.0
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-neutral,gemma-4-31b,basic,strategic,neutral,10,0.0,20.0,19.0,1.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,basic,strategic,cautious,10,1.0,13.4,13.4,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,basic,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,basic,strategic,intuitive,10,1.0,12.7,12.7,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,14.1,14.1,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-numbers-as-words,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,12.7,12.7,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-a,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-b,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,14.1,14.1,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,basic,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,basic,strategic,cautious,10,1.0,11.0,11.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,basic,strategic,competitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,basic,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,basic,strategic,neutral,10,1.0,16.0,16.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,basic,strategic,cautious,10,1.0,11.0,11.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,basic,strategic,competitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,basic,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,basic,strategic,neutral,10,1.0,11.4,11.4,0.0
game_variant-costless__goal_framing-none__model-gemma-4-31b__persona-cautious,gemma-4-31b,costless,none,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-none__model-gemma-4-31b__persona-competitive,gemma-4-31b,costless,none,competitive,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-none__model-gemma-4-31b__persona-intuitive,gemma-4-31b,costless,none,intuitive,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-none__model-gemma-4-31b__persona-neutral,gemma-4-31b,costless,none,neutral,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-none__model-gemma-4-31b__persona-neutral__temperature-1.0,gemma-4-31b,costless,none,neutral,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,costless,none,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,costless,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,costless,none,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__temperature-1.0,qwen3.5-27b-fp8,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,costless,none,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,costless,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,costless,none,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-4b__persona-neutral__temperature-1.0,qwen3.5-4b,costless,none,neutral,10,1.0,11.0,11.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,costless,none,cautious,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,costless,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,costless,none,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-none__model-qwen3.5-9b__persona-neutral__temperature-1.0,qwen3.5-9b,costless,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-gemma-4-31b__persona-cautious,gemma-4-31b,costless,strategic,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-strategic__model-gemma-4-31b__persona-competitive,gemma-4-31b,costless,strategic,competitive,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-strategic__model-gemma-4-31b__persona-intuitive,gemma-4-31b,costless,strategic,intuitive,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-strategic__model-gemma-4-31b__persona-neutral,gemma-4-31b,costless,strategic,neutral,10,0.0,20.0,19.0,1.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,costless,strategic,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,costless,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,costless,strategic,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,costless,strategic,cautious,10,1.0,20.0,20.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,costless,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,costless,strategic,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,costless,strategic,cautious,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,costless,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,costless,strategic,intuitive,10,1.0,19.0,19.0,0.0
game_variant-costless__goal_framing-strategic__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,costless,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-gemma-4-31b__persona-cautious,gemma-4-31b,cycle,none,cautious,10,1.0,20.0,20.0,0.0
game_variant-cycle__goal_framing-none__model-gemma-4-31b__persona-competitive,gemma-4-31b,cycle,none,competitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-none__model-gemma-4-31b__persona-intuitive,gemma-4-31b,cycle,none,intuitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-none__model-gemma-4-31b__persona-neutral,gemma-4-31b,cycle,none,neutral,10,0.0,20.0,15.0,5.0
game_variant-cycle__goal_framing-none__model-gemma-4-31b__persona-neutral__temperature-1.0,gemma-4-31b,cycle,none,neutral,10,0.0,11.0,20.0,-9.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,cycle,none,cautious,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,cycle,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,cycle,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__temperature-1.0,qwen3.5-27b-fp8,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,cycle,none,cautious,10,1.0,12.6,12.6,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,cycle,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,cycle,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-4b__persona-neutral__temperature-1.0,qwen3.5-4b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,cycle,none,cautious,10,1.0,11.0,11.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,cycle,none,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,cycle,none,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,cycle,none,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-none__model-qwen3.5-9b__persona-neutral__temperature-1.0,qwen3.5-9b,cycle,none,neutral,10,1.0,11.6,11.6,0.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-cautious,gemma-4-31b,cycle,strategic,cautious,10,1.0,20.0,20.0,0.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-competitive,gemma-4-31b,cycle,strategic,competitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-intuitive,gemma-4-31b,cycle,strategic,intuitive,10,0.0,20.0,19.0,1.0
game_variant-cycle__goal_framing-strategic__model-gemma-4-31b__persona-neutral,gemma-4-31b,cycle,strategic,neutral,10,0.0,20.0,15.0,5.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,cycle,strategic,cautious,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,cycle,strategic,cautious,10,1.0,14.2,14.2,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,cycle,strategic,cautious,10,1.0,11.0,11.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
