seed,stratum_id,signed_effect,population,model,framing,scale_labels,condition_id,tar_event_member
6001,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2493961352657004,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.13345410628019325,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.1956521739130435,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2584541062801934,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.1878019323671498,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2095410628019324,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.09239130434782616,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.060990338164251444,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.07125603864734309,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.07729468599033822,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.570048309178744,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.875,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,2.5,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.08997584541062793,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.4009661835748794,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.15458937198067613,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.2095410628019326,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.3357487922705313,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.05736714975845403,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.7898550724637682,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.6884057971014489,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.8532608695652177,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.7004830917874401,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.6624396135265697,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.5785024154589374,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.6400966183574879,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.4945652173913044,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.6400966183574879,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.6400966183574879,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.5404589371980676,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.6274154589371981,us,qwen3.5-9b,neutral,default,population-us__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.42089371980676327,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.377415458937198,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.38466183574879226,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.377415458937198,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.5295893719806763,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=netherlands|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.3049516908212561,netherlands,qwen3.5-9b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,5.345410628019324,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,3.6660628019323673,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,4.8979468599033815,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,2.6636473429951693,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,5.391304347826087,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=jordan|model=qwen3.5-9b|framing=neutral|scale_labels=default,2.7530193236714973,jordan,qwen3.5-9b,neutral,default,population-jordan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.002415458937198004,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.0006038647342995566,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.06763285024154549,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3049516908212558,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.7149758454106284,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.5791062801932371,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3049516908212558,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3556763285024152,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9317632850241543,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9317632850241543,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.856280193236715,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8278985507246377,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.7584541062801932,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9190821256038645,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8653381642512077,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8888888888888888,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.7620772946859904,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0169082125603863,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8309178743961354,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0030193236714975,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.2493961352657006,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0736714975845412,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.067632850241546,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.5048309178743962,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.5072463768115945,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.2493961352657006,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0235507246376816,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0579710144927537,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6005/run/probe_events.jsonl.gz
